time_s,vz_taylor,vz_optimized,vx_taylor,vx_optimized
0.469531934,1.23826164e-20,5.20868059e-18,8.95090833e-21,4.26820991e-18
0.471330907,1.01710847e-20,6.58960346e-18,7.37696168e-21,5.31878755e-18
0.473129879,2.51371406e-21,6.30782902e-18,1.8673397e-21,4.98344825e-18
0.474928852,-1.14240239e-20,3.60822856e-18,-8.17345551e-21,2.67089571e-18
0.476727825,-3.06619553e-20,-1.77952836e-18,-2.20192273e-20,-1.79624901e-18
0.478526798,-5.15505877e-20,-9.29911708e-18,-3.70083122e-20,-7.90880953e-18
0.480325771,-6.73485841e-20,-1.73510097e-17,-4.82512663e-20,-1.43096017e-17
0.482124744,-6.86752724e-20,-2.33406495e-17,-4.89810589e-20,-1.88560894e-17
0.483923717,-4.52450202e-20,-2.41045802e-17,-3.1835898e-20,-1.89949076e-17
0.48572269,1.09194542e-20,-1.67485822e-17,8.79364988e-21,-1.24672734e-17
0.487521663,1.01014733e-19,1.97597777e-19,7.35301252e-20,1.74432302e-18
0.489320636,2.14548376e-19,2.55622486e-17,1.54504317e-19,2.24466282e-17
0.491119609,3.25505068e-19,5.46479153e-17,2.32690975e-19,4.557482e-17
0.492918582,3.91673038e-19,7.91525316e-17,2.77597212e-19,6.42215805e-17
0.494717555,3.59401999e-19,8.83093186e-17,2.50921039e-19,6.96763513e-17
0.496516527,1.75549309e-19,7.1431281e-17,1.15384731e-19,5.35931992e-17
0.4983155,-1.93094904e-19,2.16463511e-17,-1.51155888e-19,1.10677463e-17
0.500114473,-7.35097332e-19,-5.99034596e-17,-5.38051495e-19,-5.60157353e-17
0.501913446,-1.36983036e-18,-1.60626149e-16,-9.84716963e-19,-1.36398559e-16
0.503712419,-1.93186574e-18,-2.55344765e-16,-1.37042105e-18,-2.08872214e-16
0.505511392,-2.17541179e-18,-3.08927552e-16,-1.51894541e-18,-2.4484952e-16
0.507310365,-1.80974325e-18,-2.83539603e-16,-1.22571619e-18,-2.14663545e-16
0.509109338,-5.72518597e-19,-1.50194773e-16,-3.11813631e-19,-9.71679255e-17
0.510908311,1.66103423e-18,9.73185328e-17,1.29740708e-18,1.09108157e-16
0.512707284,4.74870764e-18,4.29745644e-16,3.48127066e-18,3.76321265e-16
0.514506257,8.16380624e-18,7.75740415e-16,5.84418584e-18,6.43142325e-16
0.51630523,1.09370825e-17,1.02629016e-15,7.68186573e-18,8.19943985e-16
0.518104203,1.17141311e-17,1.05372427e-15,8.03274082e-18,8.05841506e-16
0.519903175,8.97881072e-18,7.45564099e-16,5.84852832e-18,5.17226758e-16
0.521702148,1.46752501e-18,4.86569579e-17,2.97799087e-19,-7.65644556e-17
0.523501121,-1.12501073e-17,-9.86394848e-16,-8.82027448e-18,-9.1912128e-16
0.525300094,-2.81188619e-17,-2.17501865e-15,-2.06253352e-17,-1.8463543e-15
0.527099067,-4.60483983e-17,-3.19890081e-15,-3.27973513e-17,-2.59221463e-15
0.52889804,-5.97101124e-17,-3.65003852e-15,-4.14842379e-17,-2.83046214e-15
0.530697013,-6.19526318e-17,-3.12352502e-15,-4.16632579e-17,-2.25461283e-15
0.532495986,-4.50644483e-17,-1.35025351e-15,-2.81035883e-17,-6.86624696e-16
0.534294959,-2.96855259e-18,1.65604278e-15,3.03435351e-18,1.80857403e-15
0.536093932,6.58198763e-17,5.47866561e-15,5.2114675e-17,4.83736468e-15
0.537892905,1.54986274e-16,9.25503746e-15,1.13853802e-16,7.66069261e-15
0.539691878,2.47849503e-16,1.17580107e-14,1.75713251e-16,9.28133131e-15
0.541490851,3.16628952e-16,1.1628685e-14,2.17701145e-16,8.65160938e-15
0.543289824,3.24836856e-16,7.75128559e-15,2.14454322e-16,4.98638948e-15
0.545088796,2.33828478e-16,-2.88453979e-16,1.40238998e-16,-1.87393935e-15
0.546887769,1.38136614e-17,-1.17709695e-14,-2.30591332e-17,-1.11447603e-14
0.548686742,-3.41598541e-16,-2.45837424e-14,-2.75789329e-16,-2.09423998e-14
0.550485715,-7.99877693e-16,-3.52892854e-14,-5.90213046e-16,-2.84105882e-14
0.552284688,-1.27736176e-15,-3.96354484e-14,-9.03139591e-16,-3.02055286e-14
0.554083661,-1.63601159e-15,-3.35327219e-14,-1.11547337e-15,-2.33361204e-14
0.555882634,-1.69515415e-15,-1.43881549e-14,-1.10266716e-15,-6.24337286e-15
0.557681607,-1.2629669e-15,1.74700214e-14,-7.38908777e-16,2.01187595e-14
0.55948058,-1.89041619e-16,5.7678979e-14,6.4797923e-17,5.15357403e-14
0.561279553,1.56630614e-15,9.75077411e-14,1.31265317e-15,8.04845381e-14
0.563078526,3.85774476e-15,1.24721627e-13,2.87535636e-15,9.70833422e-14
0.564877499,6.29530551e-15,1.25864268e-13,4.45503114e-15,9.11492323e-14
0.566676472,8.22533153e-15,8.98326368e-14,5.58176567e-15,5.51786032e-14
0.568475444,8.77976925e-15,1.21787324e-14,5.65993274e-15,-1.22899469e-14
0.570274417,7.01622684e-15,-1.00872066e-13,4.07732583e-15,-1.0379998e-13
0.57207339,2.15644771e-15,-2.30007869e-13,3.78461074e-16,-2.01652218e-13
0.573872363,-6.0939497e-15,-3.4337992e-13,-5.51481139e-15,-2.79140574e-13
